subscribed,title,subject,era_subjects,cpu,cpu_rank,usage,instant_usage_percent,free_instant_usage_percent,subscription_cost,ill_cost,subscription_minus_ill_cost,use_oa_percent,use_backfile_percent,use_subscription_percent,use_ill_percent,use_other_delayed_percent,perpetual_access_years,baseline_access,bronze_oa_embargo_months,use_green_percent,use_hybrid_percent,use_bronze_percent,use_asns_percent,use_peer_reviewed_percent,downloads,citations,authorships,current_yr_usage,IF%,cost_per_IF%
FALSE,Journlia,Life Sciences,"[['11', 'Medical and Health Sciences'], ['06', 'Biological Sciences']]",264.851077,431,722,96,96,8273,12,8261,96,0,0,0,4,0,0,18,1,10,71,10,81,321,36.2,0.4,28.88,0.00724276,1142244.058
FALSE,Nexus American,Life Sciences,"[['09', 'Engineering'], ['06', 'Biological Sciences'], ['0601', 'Biochemistry and Cell Biology'], ['0699', 'Other Biological Sciences'], ['0904', 'Chemical Engineering']]",145.089854,430,497,90,90,7265,25,7240,90,0,0,1,10,0,0,18,0,7,81,0,86,288,17,0.4,54.67,0.013710586,529882.5489
FALSE,Become Veterinary,,"[['11', 'Medical and Health Sciences'], ['08', 'Information and Computing Sciences'], ['06', 'Biological Sciences']]",128.433666,429,85,86,86,1568,10,1558,86,0,0,1,14,0,0,12,1,13,71,3,79,79,0.6,0,12.75,0.003197548,490375.7051
FALSE,Wish Industrial,Computer Science,"[['08', 'Information and Computing Sciences'], ['0802', 'Computation Theory and Mathematics'], ['0801', 'Artificial Intelligence and Image Processing']]",76.156409,428,20,30,30,1064,11,1053,30,0,0,3,66,0,0,0,6,0,11,8,6,18,0.2,0,13.8,0.003460876,307436.6319
FALSE,Encourage Methods,"Engineering, Energy and Technology","[['09', 'Engineering']]",74.233178,427,901,82,82,12068,87,11981,82,0,0,1,17,0,0,36,3,2,63,8,65,570,19.2,1.4,162.18,0.040672814,296709.2443
FALSE,Research Materialia,Computer Science,"[['01', 'Mathematical Sciences'], ['08', 'Information and Computing Sciences']]",71.519558,426,361,82,82,4798,20,4778,82,0,0,1,18,0,0,48,15,6,52,4,64,128,17.4,0.6,68.59,0.017201556,278928.2569
FALSE,Alpha Trends,Physics and Astronomy,"[['01', 'Mathematical Sciences'], ['02', 'Physical Sciences']]",70.158704,425,638,79,79,9491,36,9455,79,0,0,1,20,0,0,0,29,7,10,2,20,203,44,0,133.98,0.03360059,282465.2794
FALSE,Perception Science,"Economics, Business and Management","[['1401', 'Economic Theory'], ['1402', 'Applied Economics'], ['1403', 'Econometrics'], ['14', 'Economics']]",55.74553,424,216,71,71,3551,29,3522,71,0,0,1,28,0,0,0,42,3,6,1,34,115,6.2,0.4,62.64,0.015709367,226043.4855
FALSE,Advance Environment,"Engineering, Energy and Technology","[['0912', 'Materials Engineering'], ['09', 'Engineering']]",53.925285,423,310,42,42,9771,101,9670,42,0,0,3,55,0,0,0,10,11,8,10,21,206,10.4,0,179.8,0.045091701,216691.7605
FALSE,Butterfly Veterinary,Chemistry and Chemical Engineering,"[['03', 'Chemical Sciences'], ['0302', 'Inorganic Chemistry'], ['0306', 'Physical Chemistry (incl. Structural)'], ['0399', 'Other Chemical Sciences']]",51.812057,422,272,22,22,11122,113,11009,22,0,0,4,74,0,0,0,2,1,5,10,3,170,8.2,0.2,212.16,0.053207204,209031.8461
FALSE,Refine Total,"Pharmacology, Pharmaceutical Science and Toxicology","[['05', 'Environmental Sciences'], ['0502', 'Environmental Science and Management'], ['1115', 'Pharmacology and Pharmaceutical Sciences'], ['11', 'Medical and Health Sciences']]",50.177753,421,168,4,4,8151,77,8074,4,0,0,5,91,0,0,0,0,0,1,2,1,94,7.4,0,161.28,0.040447105,201522.4574
FALSE,Bright Side Science,"Engineering, Energy and Technology","[['01', 'Mathematical Sciences'], ['09', 'Engineering'], ['08', 'Information and Computing Sciences']]",47.26968,420,298,35,35,9196,101,9095,35,0,0,3,61,0,0,0,14,3,3,16,10,185,9.4,0.2,190.72,0.047830307,192263.0363
FALSE,Environorama,Life Sciences,"[['09', 'Engineering']]",47.176679,419,269,17,17,10619,127,10492,17,0,0,4,79,0,0,0,3,1,2,5,6,181,8.8,0,223.27,0.055993459,189647.15
FALSE,Learn Biosensor,Materials Science,"[['1103', 'Clinical Sciences'], ['11', 'Medical and Health Sciences']]",46.005318,418,237,18,18,9067,118,8949,18,0,0,4,78,0,0,0,5,1,4,9,5,169,6.8,0,194.34,0.04873816,186034.9275
FALSE,Unite Programming,Mathematics,"[['02', 'Physical Sciences'], ['09', 'Engineering'], ['0204', 'Condensed Matter Physics'], ['0912', 'Materials Engineering']]",44.310804,417,845,83,83,6372,50,6322,83,0,0,1,16,0,0,48,12,2,62,4,68,346,24,2.6,143.65,0.036025711,176873.6788
FALSE,Quake Cement,Neuroscience,"[['01', 'Mathematical Sciences'], ['08', 'Information and Computing Sciences'], ['09', 'Engineering']]",41.882913,416,170,52,52,3493,51,3442,52,0,0,2,46,0,0,0,28,10,6,5,39,124,4.6,0,81.6,0.020464309,170687.4141
FALSE,Imagine Computer,Computer Science,"[['1109', 'Neurosciences'], ['11', 'Medical and Health Sciences'], ['1702', 'Cognitive Science'], ['17', 'Psychology and Cognitive Sciences']]",41.229243,415,318,35,35,8560,101,8459,17,19,0,3,61,2016-2019,0,0,7,0,3,4,4,214,10.4,0,203.52,0.051040394,167710.3027
FALSE,Logical Journal,Neuroscience,"[['17', 'Psychology and Cognitive Sciences'], ['1701', 'Psychology'], ['1702', 'Cognitive Science'], ['11', 'Medical and Health Sciences'], ['1109', 'Neurosciences']]",40.03516,414,530,41,41,12761,147,12614,41,0,0,3,56,0,0,0,26,8,1,12,32,291,22,0.2,312.7,0.078421439,162723.3586
FALSE,Simple Industrial,Medicine,"[['08', 'Information and Computing Sciences'], ['09', 'Engineering'], ['0906', 'Electrical and Electronic Engineering'], ['0903', 'Biomedical Engineering'], ['0801', 'Artificial Intelligence and Image Processing']]",39.390209,413,113,22,22,3501,47,3454,22,0,0,4,74,0,0,0,6,1,4,8,8,71,2.2,0.2,88.14,0.022104463,158384.3026
